종목코드,종목명,테마명,섹터,산업군,업종명,시장구분,기준일
493790,유안타제17호스팩,"['2025 상반기 신규상장', '기업인수목적회사(SPAC)']",금융,기타금융,금융,KOSDAQ,20250407
263770,유에스티,"['철강 중소형', '강관업체(Steel pipe)', '2차전지(소재/부품)', '니켈', '2차전지', '전기차']",소재,금속및광물,금속,KOSDAQ,20250407
388720,유일로보틱스,"['지능형로봇/인공지능(AI)', '스마트팩토리(스마트공장)', '로봇(산업용/협동로봇 등)']",산업재,자본재,기계·장비,KOSDAQ,20250407
340930,유일에너테크,"['수소차(연료전지/부품/충전소 등)', '전력저장장치(ESS)', '2차전지', '전기차', '2차전지(장비)', '2차전지(전고체)', '리튬']",산업재,자본재,기계·장비,KOSDAQ,20250407
023410,유진기업,"['시멘트/레미콘', 'GTX(수도권 광역급행철도)', '아스콘(아스팔트 콘크리트)']",소재,건축소재,비금속,KOSDAQ,20250407
056080,유진로봇,"['지능형로봇/인공지능(AI)', 'DMZ 평화공원', '사물인터넷', '자율주행차']",산업재,자본재,기계·장비,KOSDAQ,20250407
468760,유진스팩10호,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
488060,유진스팩11호,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
442130,유진스팩9호,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
084370,유진테크,"['반도체 장비', '3D 낸드(NAND)']",산업재,자본재,기계·장비,KOSDAQ,20250407
240600,유진테크놀로지,"['리비안(RIVIAN)', '2차전지(소재/부품)', '2차전지']",소재,금속및광물,금속,KOSDAQ,20250407
221800,유투바이오,"['코로나19(진단/치료제/백신 개발 등)', '코로나19(진단키트)']",산업재,상업서비스,일반서비스,KOSDAQ,20250407
179900,유티아이,"['폴더블폰', '스마트폰', '갤럭시 부품주', '플렉서블 디스플레이']",IT,하드웨어,전기·전자,KOSDAQ,20250407
263050,유틸렉스,"['면역항암제', '코로나19(진단/치료제/백신 개발 등)', '코로나19(치료제/백신 개발 등)']",의료,제약및바이오,제약,KOSDAQ,20250407
191410,육일씨엔에쓰,"['자동차부품', '스마트폰']",IT,하드웨어,전기·전자,KOSDAQ,20250407
372170,윤성에프앤씨,"['코리아 밸류업 지수(Korea Value-up Index)', '2차전지', '2차전지(장비)']",산업재,자본재,기계·장비,KOSDAQ,20250407
146060,율촌,"['철강 중소형', '강관업체(Steel pipe)']",소재,금속및광물,금속,KOSDAQ,20250407
072770,율호,,IT,소프트웨어,IT 서비스,KOSDAQ,20250407
039020,이건홀딩스,"['리모델링/인테리어', '조림사업', '지주사', '태양광에너지']",소재,종이및목재,종이·목재,KOSDAQ,20250407
067920,이글루,"['보안주(정보)', '인터넷은행', '핀테크(FinTech)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
044960,이글벳,"['구충제(펜벤다졸, 이버멕틴 등)', '아프리카 돼지열병(ASF)', '메르스 코로나 바이러스', '백신/진단시약/방역(신종플루, AI 등)']",경기소비재,유통,유통,KOSDAQ,20250407
303530,이노뎁,"['지능형로봇/인공지능(AI)', '보안주(물리)', '메타버스(Metaverse)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
296640,이노룰스,,IT,소프트웨어,IT 서비스,KOSDAQ,20250407
302430,이노메트리,"['전기차 화재 방지(배터리 열폭주 등)', '2차전지', '2차전지(장비)', '유리 기판']",산업재,자본재,기계·장비,KOSDAQ,20250407
462350,이노스페이스,['우주항공산업(누리호/인공위성 등)'],산업재,자본재,운송장비·부품,KOSDAQ,20250407
274400,이노시뮬레이션,"['방위산업/전쟁 및 테러', '가상현실(VR)', '증강현실(AR)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
073490,이노와이어리스,"['통신장비', '5G(5세대 이동통신)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
215790,이노인스트루먼트,"['우크라이나 재건', '통신장비', '5G(5세대 이동통신)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
344860,이노진,['탈모 치료'],소재,소재,화학,KOSDAQ,20250407
088390,이녹스,"['지주사', '2차전지(소재/부품)', '2차전지']",산업재,자본재,운송장비·부품,KOSDAQ,20250407
272290,이녹스첨단소재,"['PCB(FPCB 등)', '폴더블폰', '日 수출 규제(국산화 등)', 'OLED(유기 발광 다이오드)', '밸류업(24년 기업가치 제고계획 발표)', '코리아 밸류업 지수(Korea Value-up Index)', '반도체 재료/부품', '아이폰', '갤럭시 부품주']",IT,하드웨어,전기·전자,KOSDAQ,20250407
053350,이니텍,"['카카오뱅크(kakao BANK)', '보안주(정보)', '인터넷은행', '핀테크(FinTech)', '블록체인']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
452400,이닉스,"['전기차 화재 방지(배터리 열폭주 등)', '2차전지(소재/부품)', '2차전지', '전기차']",산업재,자본재,운송장비·부품,KOSDAQ,20250407
264850,이랜시스,"['보안주(물리)', '로봇(산업용/협동로봇 등)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
054210,이랜텍,"['가상현실(VR)', '메타버스(Metaverse)', '증강현실(AR)', '2차전지(소재/부품)', '전력저장장치(ESS)', '2차전지', '휴대폰부품', '갤럭시 부품주', '무선충전기술']",IT,하드웨어,전기·전자,KOSDAQ,20250407
009730,이렘,"['강관업체(Steel pipe)', '비철금속']",소재,금속및광물,금속,KOSDAQ,20250407
