종목코드,종목명,업종명,테마명,기준일,raw테마명
035420,NAVER,IT 서비스,블록체인/가상화폐,20250510,블록체인
035420,NAVER,IT 서비스,플랫폼/인터넷,20250510,인터넷 대표주
035420,NAVER,IT 서비스,금융/핀테크,20250510,핀테크(FinTech)
035420,NAVER,IT 서비스,미디어/SNS,20250510,음성인식
035420,NAVER,IT 서비스,IT/통신,20250510,클라우드 컴퓨팅
035420,NAVER,IT 서비스,미디어/SNS,20250510,SNS(소셜네트워크서비스)
035420,NAVER,IT 서비스,메타버스,20250510,메타버스(Metaverse)
035420,NAVER,IT 서비스,전기차/자율주행,20250510,자율주행차
035420,NAVER,IT 서비스,디지털산업,20250510,4차산업 수혜주
035420,NAVER,IT 서비스,게임/엔터,20250510,웹툰
035420,NAVER,IT 서비스,금융/핀테크,20250510,마이데이터
181710,NHN,IT 서비스,게임/엔터,20250510,게임
181710,NHN,IT 서비스,게임/엔터,20250510,모바일게임(스마트폰)
181710,NHN,IT 서비스,의료/건강,20250510,재택근무/스마트워크
181710,NHN,IT 서비스,게임/엔터,20250510,웹툰
181710,NHN,IT 서비스,금융/핀테크,20250510,전자결제(전자화폐)
400760,NH올원리츠,부동산,원자력/에너지,20250510,리츠(REITs)
005940,NH투자증권,증권,보험/증권,20250510,증권
005940,NH투자증권,증권,금융/핀테크,20250510,인터넷은행
005940,NH투자증권,증권,블록체인/가상화폐,20250510,STO(토큰증권 발행)
005945,NH투자증권우,증권,,20250510,
338100,NH프라임리츠,부동산,원자력/에너지,20250510,리츠(REITs)
034310,NICE,일반서비스,금융/핀테크,20250510,애플페이
034310,NICE,일반서비스,기타 산업,20250510,지주사
030190,NICE평가정보,IT 서비스,정부정책,20250510,밸류업(25년 기업가치 제고계획 발표)
030190,NICE평가정보,IT 서비스,금융/핀테크,20250510,인터넷은행
030190,NICE평가정보,IT 서비스,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
